id,image_url,image_format,link,title,date_from,date_to,description
c032530014,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530014.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=14,"Hurstville, Norfolk Estate",1880,1930,Sydney Subdivision Plan
c032530015,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530015.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=15,"Hurstville, Moorefields Estate",1880,1930,Sydney Subdivision Plan
c032530017,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530017.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=17,"Penshurst, Penshurst Park",1880,1930,Sydney Subdivision Plan
c032530018,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530018.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=18,"Penshurst, Penshurst Park",1880,1930,Sydney Subdivision Plan
c032530019,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530019.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=19,"Hurstville, Sunny Hills Estate",1880,1930,Sydney Subdivision Plan
c032530021,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530021.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=21,"Hurstville, Simmons Estate",1880,1930,Sydney Subdivision Plan
c032560001,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560001.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=1,"Rockdale, Alphington Hills",1880,1930,Sydney Subdivision Plan
c032560004,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560004.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=4,"Rockdale, Alphington park",1880,1930,Sydney Subdivision Plan
c032560005,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560005.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=5,"Rockdale, Alphington Park",1880,1930,Sydney Subdivision Plan
c032560006,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560006.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=6,"Bexley, Bexley Farms",1880,1930,Sydney Subdivision Plan
c032560007,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560007.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=7,"Bexley, Ocean View Estate",1880,1930,Sydney Subdivision Plan
c032560008,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560008.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=8,"Kogarah, Rhinelands",1880,1930,Sydney Subdivision Plan
c032560009,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560009.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=9,"Bexley, Devoncliff Estate",1880,1930,Sydney Subdivision Plan
c032560010,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560010.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=10,"Kogarah, Kogarah Heights",1880,1930,Sydney Subdivision Plan
c032560015,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560015.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=15,"Bexley, Lynton Park",1880,1930,Sydney Subdivision Plan
